Zip Code,City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
75056,The Colony,TX,Dallas-Fort Worth,Denton,424990,,,,,,,377323.65,,,,,,,,45,
30040,Cumming,GA,Atlanta,Forsyth,399900,,,63730.28,798868.54,,,4902553.47,,,,8,23,,,73,
30188,Woodstock,GA,Atlanta,Cherokee,372900,,,63730.28,798868.54,,,49866883.96,,,,8,23,,,147,
79938,El Paso,TX,El Paso,El Paso,162950,,,3561960.19,,,,,,,,66,,,,,
92336,Fontana,CA,Riverside,San Bernardino,450000,,6698698.06,,,,,,,,142,,,,,,
99301,Pasco,WA,Kennewick,Franklin,309475,,,1721692.51,1963389.54,,,11715365.26,,,,19,65,,,168,
20011,Washington,DC,Washington,District of Columbia,595000,,,,,,,,,,,,,,,,
77095,Houston,TX,Houston,Harris,234990,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
91911,Chula Vista,CA,San Diego,San Diego,472449.5,,81483289.38,,,,,,,,208,,,,,,
77845,College Station,TX,College Station,Brazos,296900,,,895172.3,,,,,,,,12,,,,,
92503,Riverside,CA,Riverside,Riverside,409993.5,,320645.73,,,,,,,,60,,,,,,
94536,Fremont,CA,San Francisco,Alameda,869434,,,,,,,,,,,,,,,,
07002,Bayonne,NJ,New York,Hudson,364900,,,,57577712.91,,,,,,,,186,,,,
27587,Wake Forest,NC,Raleigh,Wake,359990,,,1721692.51,2463402.31,,,14817264.24,,,,19,100,,,225,
21740,Hagerstown,MD,Hagerstown,Washington,164900,,,7217070.8,22131919.88,,,25202378.25,240346.92,,,39,172,,,356,6
11233,New York,NY,New York,Kings,499499.5,,,,479132635.5,,,,,,,,343,,,,
07302,Jersey City,NJ,New York,Hudson,859500,,,,57577712.91,,,,,,,,186,,,,
90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,430000,,27406651.26,,,,,,,,273,,,,,,
22191,Woodbridge,VA,Washington,Prince William,328000,,,,,,,,,,,,,,,,
19111,Philadelphia,PA,Philadelphia,Philadelphia,184000,,,6316313.88,30402319.43,,,,,,,129,234,,,,
