City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
New York,NY,New York,Kings,439500.0,,,,479132635.5,,,,,,,,343.0,,,,
Rancho Cucamonga,CA,Riverside,San Bernardino,430800.0,,6698698.06,,,,,,,,142.0,,,,,,
Chesapeake,VA,Virginia Beach,Chesapeake City,302450.0,,,,,,,,,,,,,,,,
Broken Arrow,OK,Tulsa,Tulsa,198900.0,,,,,,,80731.12,,,,,,,,27.0,
Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,412500.0,,27406651.26,,,,,,,,273.0,,,,,,
Temecula,CA,Riverside,Riverside,499900.0,,81803935.11,,,,,,,,268.0,,,,,,
Jacksonville,FL,Jacksonville,Duval,150000.0,,,,1299333.07,,,3632921.27,,,,,64.0,,,118.0,
Owings Mills,MD,Baltimore,Baltimore,266860.5,,,,,,,,,,,,,,,,
San Diego,CA,San Diego,San Diego,1099950.0,,81483289.38,,,,,,,,208.0,,,,,,
Chicago,IL,Chicago,Cook,62500.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Winter Garden,FL,Orlando,Orange,381990.0,1009418.48,20128437.72,9628379.37,178470717.7,,,65561584.17,,22.0,157.0,105.0,315.0,,,372.0,
Cinco Ranch,TX,Houston,Fort Bend,286000.0,,,57830552.09,271555772.3,,,28110777.19,,,,387.0,682.0,,,396.0,
San Diego,CA,San Diego,San Diego,634500.0,,81483289.38,,,,,,,,208.0,,,,,,
Orlando,FL,Orlando,Orange,140000.0,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22.0,81.0,30.0,315.0,,,121.0,
Atlanta,GA,Atlanta,Fulton,325000.0,,,1082755.35,,,,15524652.25,,,,29.0,,,,199.0,
Smyrna,GA,Atlanta,Cobb,392995.5,,,,,,,44964330.49,,,,,,,,74.0,
West New York,NJ,New York,Hudson,379000.0,,,,57577712.91,,,,,,,,186.0,,,,
Chicago,IL,Chicago,Cook,179900.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1297500.0,,27406651.26,,,,,,,,273.0,,,,,,
Huntersville,NC,Charlotte,Mecklenburg,349900.0,,,,,,,,,,,,,,,,
New York,NY,New York,New York,825000.0,,,,24625132.25,,,,,,,,442.0,,,,
Bonita Springs,FL,Fort Myers,Lee,320000.0,,,1715777.67,379418.02,,,11051194.79,,,,20.0,21.0,,,142.0,
Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,539000.0,,27406651.26,,,,,,,,273.0,,,,,,
Ann Arbor,MI,Ann Arbor,Washtenaw,375000.0,,,,,,,,,,,,,,,,
Marietta,GA,Atlanta,Cobb,399900.0,,,,,,,44964330.49,,,,,,,,74.0,
The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,305000.0,,,,,,,,,,,,,,,,
Loganville,GA,Atlanta,Gwinnett,249900.0,,,29430450.44,808496.05,,,25286844.08,,,,41.0,45.0,,,238.0,
Cumming,GA,Atlanta,Forsyth,409950.0,,,,,,,,,,,,,,,,
Dallas,TX,Dallas-Fort Worth,Dallas,135450.0,,,,,,,2753419.78,,,,,,,,128.0,
Atlanta,GA,Atlanta,Fulton,175000.0,,,1082755.35,,,,15524652.25,,,,29.0,,,,199.0,
New York,NY,New York,Queens,399000.0,,,,803787716.8,,,,,,,,792.0,,,,
Jacksonville,FL,Jacksonville,Duval,272995.0,,,,1299333.07,,,3632921.27,,,,,64.0,,,118.0,
Clermont,FL,Orlando,Lake,275000.0,,14777270.81,3728291.51,,,,64085981.68,,,76.0,75.0,,,,251.0,
Greenville,NC,Greenville,Pitt,134900.0,,,,13894534.37,,,358917.01,,,,,132.0,,,27.0,
Fontana,CA,Riverside,San Bernardino,345000.0,,6698698.06,,,,,,,,142.0,,,,,,
Virginia Beach,VA,Virginia Beach,Virginia Beach City,295000.0,,,,,,,,,,,,,,,,
Columbia,TN,Nashville,Maury,240900.0,,248002.7,285296.48,,,,35726919.78,,,6.0,17.0,,,,255.0,
El Cajon,CA,San Diego,San Diego,465000.0,,81483289.38,,,,,,,,208.0,,,,,,
Westland,MI,Detroit,Wayne,139900.0,,,128761667.0,8660431.07,,,7840306.82,60042.8,,,243.0,80.0,,,116.0,3.0
Simi Valley,CA,Ventura,Ventura,627450.0,,0.0,,,,,,,,15.0,,,,,,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,499000.0,,27406651.26,,,,,,,,273.0,,,,,,
Parma Heights,OH,Cleveland,Cuyahoga,129900.0,,,,,,,,,,,,,,,,
Roseville,CA,Sacramento,Placer,489990.0,,,,,,,,,,,,,,,,
Jacksonville,FL,Jacksonville,Duval,208000.0,,,,1299333.07,,,3632921.27,,,,,64.0,,,118.0,
San Jose,CA,San Jose,Santa Clara,898500.0,,,,,,,,,,,,,,,,
Hilliard,OH,Columbus,Franklin,258450.0,,,1839674.27,2121991.61,,,36562726.82,,,,24.0,72.0,,,437.0,
Washington,DC,Washington,District of Columbia,289500.0,,,,,,,,,,,,,,,,
Woodbridge,VA,Washington,Prince William,325000.0,,,,,,,,,,,,,,,,
Findlay,OH,Findlay,Hancock,179900.0,,,,5217692.2,,,2998199.09,,,,,59.0,,,39.0,
